id,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,default_payment_next_month,limit_age_ratio,avg_bill_amt,avg_pay_amt,bill_pay_ratio,num_late_payments,max_delay,avg_delay,bill_trend,age_bin
1,20000.0,2,2,1,24,2,2,-1,-1,-2,-2,3913.0,3102.0,689.0,0.0,0.0,0.0,0.0,689.0,0.0,0.0,0.0,0.0,1,800.0,1284.0,114.83333333333333,0.0893644617380026,2,2,-0.3333333333333333,-844.5714285714282,0
2,120000.0,2,2,2,26,-1,2,0,0,0,2,2682.0,1725.0,2682.0,3272.0,3455.0,3261.0,0.0,1000.0,1000.0,1000.0,0.0,2000.0,1,4444.444444444444,2846.1666666666665,833.3333333333334,0.2926886378270796,2,2,0.5,247.85714285714275,0
3,90000.0,2,2,2,34,0,0,0,0,0,0,29239.0,14027.0,13559.0,14331.0,14948.0,15549.0,1518.0,1500.0,1000.0,1000.0,1000.0,5000.0,0,2571.4285714285716,16942.166666666668,1836.3333333333333,0.10838194355639932,0,0,0.0,-1854.7142857142867,1
4,50000.0,2,2,1,37,0,0,0,0,0,0,46990.0,48233.0,49291.0,28314.0,28959.0,29547.0,2000.0,2019.0,1200.0,1100.0,1069.0,1000.0,0,1315.7894736842106,38555.666666666664,1398.0,0.03625832108584767,0,0,0.0,-4743.257142857142,1
5,50000.0,1,2,1,57,-1,0,-1,0,0,0,8617.0,5670.0,35835.0,20940.0,19146.0,19131.0,2000.0,36681.0,10000.0,9000.0,689.0,679.0,0,862.0689655172414,18223.166666666668,9841.5,0.5400246924870822,0,0,-0.3333333333333333,2231.514285714285,3
6,50000.0,1,1,2,37,0,0,0,0,0,0,64400.0,57069.0,57608.0,19394.0,19619.0,20024.0,2500.0,1815.0,657.0,1000.0,1000.0,800.0,0,1315.7894736842106,39685.666666666664,1295.3333333333333,0.032639005543423485,0,0,0.0,-10641.257142857143,1
7,500000.0,1,1,2,29,0,0,0,0,0,0,367965.0,412023.0,445007.0,542653.0,483003.0,473944.0,55000.0,40000.0,38000.0,20239.0,13750.0,13770.0,0,16666.666666666668,454099.1666666667,30126.5,0.0663432921003846,0,0,0.0,24013.74285714283,0
8,100000.0,2,2,2,23,0,-1,-1,0,0,-1,11876.0,380.0,601.0,221.0,-159.0,567.0,380.0,601.0,0.0,581.0,1687.0,1542.0,0,4166.666666666667,2247.6666666666665,798.5,0.35509931811443823,0,0,-0.5,-1672.6285714285707,0
9,140000.0,2,3,1,28,0,0,2,0,0,0,11285.0,14096.0,12108.0,12211.0,11793.0,3719.0,3329.0,0.0,432.0,1000.0,1000.0,1000.0,0,4827.586206896552,10868.666666666666,1126.8333333333333,0.10366769910147505,1,2,0.3333333333333333,-1275.3142857142852,0
10,20000.0,1,3,2,35,-2,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,13007.0,13912.0,0.0,0.0,0.0,13007.0,1122.0,0.0,0,555.5555555555555,4486.5,2354.8333333333335,0.5247539461467038,0,-1,-1.6666666666666667,3102.3142857142852,1
11,200000.0,2,3,2,34,0,0,2,0,0,-1,11073.0,9787.0,5535.0,2513.0,1828.0,3731.0,2306.0,12.0,50.0,300.0,3738.0,66.0,0,5714.285714285715,5744.5,1078.6666666666667,0.18774113073999943,1,2,0.16666666666666666,-1817.3999999999996,1
12,260000.0,2,1,2,51,-1,-1,-1,-1,-1,2,12261.0,21670.0,9966.0,8517.0,22287.0,13668.0,21818.0,9966.0,8583.0,22301.0,0.0,3640.0,0,5000.0,14728.166666666666,11051.333333333334,0.7503026874115983,1,2,-0.5,212.48571428571407,3
13,630000.0,2,2,2,41,-1,0,-1,-1,-1,-1,12137.0,6500.0,6500.0,6500.0,6500.0,2870.0,1000.0,6500.0,6500.0,6500.0,2870.0,0.0,0,15000.0,6834.5,3895.0,0.5698193255796943,0,0,-0.8333333333333334,-1323.8571428571427,2
14,70000.0,1,2,2,30,1,2,2,0,0,2,65802.0,67369.0,65701.0,66782.0,36137.0,36894.0,3200.0,0.0,3000.0,3000.0,1500.0,0.0,1,2258.064516129032,56447.5,1783.3333333333333,0.03159221827565539,4,2,1.1666666666666667,-6775.857142857146,0
15,250000.0,1,1,2,29,0,0,0,0,0,0,70887.0,67060.0,63561.0,59696.0,56875.0,55512.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,8333.333333333334,62265.166666666664,3000.0,0.04818025840678592,0,0,0.0,-3179.8571428571404,0
16,50000.0,2,3,3,23,1,2,0,0,0,0,50614.0,29173.0,28116.0,28771.0,29531.0,30211.0,0.0,1500.0,1100.0,1200.0,1300.0,1100.0,0,2083.3333333333335,32736.0,1033.3333333333333,0.03156469234607121,2,2,0.5,-2865.314285714283,0
17,20000.0,1,1,2,24,0,0,2,2,2,2,15376.0,18010.0,17428.0,18338.0,17905.0,19104.0,3200.0,0.0,1500.0,0.0,1650.0,0.0,1,800.0,17693.5,1058.3333333333333,0.05981142916348771,4,2,1.3333333333333333,549.5714285714278,0
18,320000.0,1,1,1,49,0,0,0,-1,-1,-1,253286.0,246536.0,194663.0,70074.0,5856.0,195599.0,10358.0,10000.0,75940.0,20000.0,195599.0,50000.0,0,6400.0,161002.33333333334,60316.166666666664,0.37462681932051095,0,0,-0.5,-32430.399999999994,2
19,360000.0,2,1,1,49,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7200.0,0.0,0.0,0.0,1,1,-1.5,0.0,2
20,180000.0,2,1,2,29,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6000.0,0.0,0.0,0.0,1,1,-1.5,0.0,0
21,130000.0,2,3,2,39,0,0,0,0,0,-1,38358.0,27688.0,24489.0,20616.0,11802.0,930.0,3000.0,1537.0,1000.0,2000.0,930.0,33764.0,0,3250.0,20647.166666666668,7038.5,0.34087772118590026,0,0,-0.16666666666666666,-6819.171428571427,1
22,120000.0,2,2,1,39,-1,-1,-1,-1,-1,-1,316.0,316.0,316.0,0.0,632.0,316.0,316.0,316.0,0.0,632.0,316.0,0.0,1,3000.0,316.0,263.3333333333333,0.8307045215562565,0,-1,-1.0,18.05714285714288,1
23,70000.0,2,2,2,26,2,0,0,2,2,2,41087.0,42445.0,45020.0,44006.0,46905.0,46012.0,2007.0,3582.0,0.0,3601.0,0.0,1820.0,1,2592.5925925925926,44245.833333333336,1835.0,0.041471894410522785,4,2,1.3333333333333333,1056.8857142857134,0
24,450000.0,2,1,1,40,-2,-2,-2,-2,-2,-2,5512.0,19420.0,1473.0,560.0,0.0,0.0,19428.0,1473.0,560.0,0.0,0.0,1128.0,1,10975.609756097561,4494.166666666667,3764.8333333333335,0.837529198027511,0,-2,-2.0,-2478.0857142857144,1
25,90000.0,1,1,2,23,0,0,0,-1,0,0,4744.0,7070.0,0.0,5398.0,6360.0,8292.0,5757.0,0.0,5398.0,1200.0,2045.0,2000.0,0,3750.0,5310.666666666667,2733.3333333333335,0.5145905240037653,0,0,-0.16666666666666666,600.2285714285714,0
26,50000.0,1,3,2,23,0,0,0,0,0,0,47620.0,41810.0,36023.0,28967.0,29829.0,30046.0,1973.0,1426.0,1001.0,1432.0,1062.0,997.0,0,2083.3333333333335,35715.833333333336,1315.1666666666667,0.03682204002781135,0,0,0.0,-3739.1142857142895,0
27,60000.0,1,1,2,27,1,-2,-1,-1,-1,-1,-109.0,-425.0,259.0,-57.0,127.0,-189.0,0.0,1000.0,0.0,500.0,0.0,1000.0,1,2142.8571428571427,-65.66666666666667,416.6666666666667,-6.443298969072165,1,1,-0.8333333333333334,26.85714285714286,0
28,50000.0,2,3,2,30,0,0,0,0,0,0,22541.0,16138.0,17163.0,17878.0,18931.0,19617.0,1300.0,1300.0,1000.0,1500.0,1000.0,1012.0,0,1612.9032258064517,18711.333333333332,1185.3333333333333,0.06334503090653223,0,0,0.0,-157.88571428571473,0
29,50000.0,2,3,1,47,-1,-1,-1,-1,-1,-1,650.0,3415.0,3416.0,2040.0,30430.0,257.0,3415.0,3421.0,2044.0,30430.0,257.0,0.0,0,1041.6666666666667,6701.333333333333,6594.5,0.9839110757447656,0,-1,-1.0,2220.114285714286,2
30,50000.0,1,1,2,26,0,0,0,0,0,0,15329.0,16575.0,17496.0,17907.0,18375.0,11400.0,1500.0,1500.0,1000.0,1000.0,1600.0,0.0,0,1851.851851851852,16180.333333333334,1100.0,0.06797956493078444,0,0,0.0,-395.2571428571431,0
31,230000.0,2,1,2,27,-1,-1,-1,-1,-1,-1,16646.0,17265.0,13266.0,15339.0,14307.0,36923.0,17270.0,13281.0,15339.0,14307.0,37292.0,0.0,0,8214.285714285714,18957.666666666668,16248.166666666666,0.8570310851677332,0,-1,-1.0,2702.3999999999996,0
32,50000.0,1,2,2,33,2,0,0,0,0,0,30518.0,29618.0,22102.0,22734.0,23217.0,23680.0,1718.0,1500.0,1000.0,1000.0,1000.0,716.0,1,1470.5882352941176,25311.5,1155.6666666666667,0.0456559670781893,1,2,0.3333333333333333,-1507.4571428571417,1
33,100000.0,1,1,2,32,0,0,0,0,0,0,93036.0,84071.0,82880.0,80958.0,78703.0,75589.0,3023.0,3511.0,3302.0,3204.0,3200.0,2504.0,0,3030.3030303030305,82539.5,3124.0,0.03784808669683368,0,0,0.0,-3007.4571428571467,1
34,500000.0,2,2,1,54,-2,-2,-2,-2,-2,-2,10929.0,4152.0,22722.0,7521.0,71439.0,8981.0,4152.0,22827.0,7521.0,71439.0,981.0,51582.0,0,9090.90909090909,20957.333333333332,26417.0,1.2604532803180915,0,-2,-2.0,5054.857142857144,3
35,500000.0,1,1,1,58,-2,-2,-2,-2,-2,-2,13709.0,5006.0,31130.0,3180.0,0.0,5293.0,5006.0,31178.0,3180.0,0.0,5293.0,768.0,0,8474.57627118644,9719.666666666666,7570.833333333333,0.7788388999382758,0,-2,-2.0,-2429.9428571428575,3
36,160000.0,1,1,2,30,-1,-1,-2,-2,-2,-1,30265.0,-131.0,-527.0,-923.0,-1488.0,-1884.0,131.0,396.0,396.0,565.0,792.0,0.0,0,5161.290322580645,4218.666666666667,380.0,0.09005450667509281,0,-1,-1.5,-4720.342857142855,0
37,280000.0,1,2,1,40,0,0,0,0,0,0,186503.0,181328.0,180422.0,170410.0,173901.0,177413.0,8026.0,8060.0,6300.0,6400.0,6400.0,6737.0,0,6829.268292682927,178329.5,6987.166666666667,0.03918099633358661,0,0,0.0,-2221.2285714285713,1
38,60000.0,2,2,2,22,0,0,0,0,0,-1,15054.0,9806.0,11068.0,6026.0,-28335.0,18660.0,1500.0,1518.0,2043.0,0.0,47671.0,617.0,0,2608.695652173913,5379.833333333333,8891.5,1.6524392132569306,0,0,-0.16666666666666666,-2898.142857142857,0
39,50000.0,1,1,2,25,1,-1,-1,-2,-2,-2,0.0,780.0,0.0,0.0,0.0,0.0,780.0,0.0,0.0,0.0,0.0,0.0,1,1923.076923076923,130.0,130.0,0.9923664122137404,1,1,-1.1666666666666667,-66.85714285714288,0
